Navn,Stasjon,Tid(norsk normaltid),Nedbør (1 t)
Trondheim - Høvringen,SN68010,28-04-2022 21:00:00,0.2
Trondheim - Høvringen,SN68010,28-04-2022 22:00:00,0
Trondheim - Høvringen,SN68010,28-04-2022 23:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 00:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 01:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 02:00:00,0.7
Trondheim - Høvringen,SN68010,29-04-2022 03:00:00,0.1
Trondheim - Høvringen,SN68010,29-04-2022 04:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 05:00:00,0.1
Trondheim - Høvringen,SN68010,29-04-2022 06:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 07:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 08:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 09:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 10:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 11:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 12:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 13:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 14:00:00,0.1
Trondheim - Høvringen,SN68010,29-04-2022 15:00:00,0.1
Trondheim - Høvringen,SN68010,29-04-2022 16:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 17:00:00,0.1
Trondheim - Høvringen,SN68010,29-04-2022 18:00:00,0.3
Trondheim - Høvringen,SN68010,29-04-2022 19:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 20:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 21:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 22:00:00,0
Trondheim - Høvringen,SN68010,29-04-2022 23:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 00:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 01:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 02:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 03:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 04:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 05:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 06:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 07:00:00,2
Trondheim - Høvringen,SN68010,30-04-2022 08:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 09:00:00,0.6
Trondheim - Høvringen,SN68010,30-04-2022 10:00:00,0.7
Trondheim - Høvringen,SN68010,30-04-2022 11:00:00,1.6
Trondheim - Høvringen,SN68010,30-04-2022 12:00:00,0.2
Trondheim - Høvringen,SN68010,30-04-2022 13:00:00,0.3
Trondheim - Høvringen,SN68010,30-04-2022 14:00:00,0.7
Trondheim - Høvringen,SN68010,30-04-2022 15:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 16:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 17:00:00,0
Trondheim - Høvringen,SN68010,30-04-2022 18:00:00,0.3
Trondheim - Høvringen,SN68010,30-04-2022 19:00:00,0.2
Trondheim - Høvringen,SN68010,30-04-2022 20:00:00,0.5
Trondheim - Høvringen,SN68010,30-04-2022 21:00:00,1
Trondheim - Høvringen,SN68010,30-04-2022 22:00:00,0.4
Trondheim - Høvringen,SN68010,30-04-2022 23:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,01-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 02:00:00,0.2
Trondheim - Høvringen,SN68010,02-05-2022 03:00:00,0.4
Trondheim - Høvringen,SN68010,02-05-2022 04:00:00,0.2
Trondheim - Høvringen,SN68010,02-05-2022 05:00:00,1.8
Trondheim - Høvringen,SN68010,02-05-2022 06:00:00,0.9
Trondheim - Høvringen,SN68010,02-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 10:00:00,0.1
Trondheim - Høvringen,SN68010,02-05-2022 11:00:00,0.1
Trondheim - Høvringen,SN68010,02-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 13:00:00,0.7
Trondheim - Høvringen,SN68010,02-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 15:00:00,0.1
Trondheim - Høvringen,SN68010,02-05-2022 16:00:00,0.1
Trondheim - Høvringen,SN68010,02-05-2022 17:00:00,0.3
Trondheim - Høvringen,SN68010,02-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 19:00:00,0.1
Trondheim - Høvringen,SN68010,02-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,02-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 03:00:00,0.2
Trondheim - Høvringen,SN68010,03-05-2022 04:00:00,0.4
Trondheim - Høvringen,SN68010,03-05-2022 05:00:00,0.1
Trondheim - Høvringen,SN68010,03-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 08:00:00,0.9
Trondheim - Høvringen,SN68010,03-05-2022 09:00:00,0.1
Trondheim - Høvringen,SN68010,03-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,03-05-2022 22:00:00,0.1
Trondheim - Høvringen,SN68010,03-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,04-05-2022 19:00:00,0.2
Trondheim - Høvringen,SN68010,04-05-2022 20:00:00,0.6
Trondheim - Høvringen,SN68010,04-05-2022 21:00:00,0.1
Trondheim - Høvringen,SN68010,04-05-2022 22:00:00,0.1
Trondheim - Høvringen,SN68010,04-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 06:00:00,0.6
Trondheim - Høvringen,SN68010,05-05-2022 07:00:00,0.2
Trondheim - Høvringen,SN68010,05-05-2022 08:00:00,0.1
Trondheim - Høvringen,SN68010,05-05-2022 09:00:00,0.1
Trondheim - Høvringen,SN68010,05-05-2022 10:00:00,0.1
Trondheim - Høvringen,SN68010,05-05-2022 11:00:00,0.4
Trondheim - Høvringen,SN68010,05-05-2022 12:00:00,0.1
Trondheim - Høvringen,SN68010,05-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 19:00:00,0.2
Trondheim - Høvringen,SN68010,05-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,05-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 10:00:00,0.2
Trondheim - Høvringen,SN68010,06-05-2022 11:00:00,0.6
Trondheim - Høvringen,SN68010,06-05-2022 12:00:00,0.4
Trondheim - Høvringen,SN68010,06-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 14:00:00,0.1
Trondheim - Høvringen,SN68010,06-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 20:00:00,0.4
Trondheim - Høvringen,SN68010,06-05-2022 21:00:00,0.5
Trondheim - Høvringen,SN68010,06-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,06-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 01:00:00,0.2
Trondheim - Høvringen,SN68010,07-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 03:00:00,0.4
Trondheim - Høvringen,SN68010,07-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 06:00:00,0.2
Trondheim - Høvringen,SN68010,07-05-2022 07:00:00,0.1
Trondheim - Høvringen,SN68010,07-05-2022 08:00:00,0.4
Trondheim - Høvringen,SN68010,07-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 12:00:00,0.1
Trondheim - Høvringen,SN68010,07-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 16:00:00,0.1
Trondheim - Høvringen,SN68010,07-05-2022 17:00:00,0.7
Trondheim - Høvringen,SN68010,07-05-2022 18:00:00,1.6
Trondheim - Høvringen,SN68010,07-05-2022 19:00:00,0.1
Trondheim - Høvringen,SN68010,07-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,07-05-2022 23:00:00,0.3
Trondheim - Høvringen,SN68010,08-05-2022 00:00:00,0.6
Trondheim - Høvringen,SN68010,08-05-2022 01:00:00,0.5
Trondheim - Høvringen,SN68010,08-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 03:00:00,0.1
Trondheim - Høvringen,SN68010,08-05-2022 04:00:00,0.4
Trondheim - Høvringen,SN68010,08-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 06:00:00,0.4
Trondheim - Høvringen,SN68010,08-05-2022 07:00:00,1.7
Trondheim - Høvringen,SN68010,08-05-2022 08:00:00,0.3
Trondheim - Høvringen,SN68010,08-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 10:00:00,0.8
Trondheim - Høvringen,SN68010,08-05-2022 11:00:00,0.3
Trondheim - Høvringen,SN68010,08-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 13:00:00,0.4
Trondheim - Høvringen,SN68010,08-05-2022 14:00:00,0.9
Trondheim - Høvringen,SN68010,08-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,08-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 06:00:00,0.1
Trondheim - Høvringen,SN68010,09-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 11:00:00,0.1
Trondheim - Høvringen,SN68010,09-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,09-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,10-05-2022 22:00:00,0.2
Trondheim - Høvringen,SN68010,10-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 02:00:00,2.8
Trondheim - Høvringen,SN68010,11-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 17:00:00,0.5
Trondheim - Høvringen,SN68010,11-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,11-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 02:00:00,0.5
Trondheim - Høvringen,SN68010,12-05-2022 03:00:00,2
Trondheim - Høvringen,SN68010,12-05-2022 04:00:00,0.3
Trondheim - Høvringen,SN68010,12-05-2022 05:00:00,0.2
Trondheim - Høvringen,SN68010,12-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 10:00:00,0.1
Trondheim - Høvringen,SN68010,12-05-2022 11:00:00,0.1
Trondheim - Høvringen,SN68010,12-05-2022 12:00:00,0.1
Trondheim - Høvringen,SN68010,12-05-2022 13:00:00,0.4
Trondheim - Høvringen,SN68010,12-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 18:00:00,0.2
Trondheim - Høvringen,SN68010,12-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 20:00:00,0.2
Trondheim - Høvringen,SN68010,12-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,12-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 06:00:00,0.1
Trondheim - Høvringen,SN68010,13-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 08:00:00,0
